file_path,file_name,mall_folder,recibos_subgroup,recibos_year_folder,recibos_year,no_servicio,cuenta,tarifa,periodo_inicio_raw,periodo_fin_raw,periodo_inicio,periodo_fin,kwh,importe,pagos_pendientes,billing_days,period_key,pdf_no_servicio_nunique,pdf_cuenta_nunique,flag_pdf_mixed_no_servicio,flag_pdf_mixed_cuenta,kwh_por_dia,importe_por_dia,costo_por_kwh,flag_missing_kwh,flag_missing_dates,flag_bad_days
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/BARBER JASS.pdf,BARBER JASS.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671230253228,32DK04G013530292,PDBT,20 JUN 24,22 AGO 24,2024-06-20,2024-08-22,3646,17058.0,17058.0,64.0,2024-06-20__2024-08-22,1,1,False,False,56.96875,266.53125,4.6785518376302795,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/BARBER JASS.pdf,BARBER JASS.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671230253228,32DK04G013530292,PDBT,22 ABR 24,20 JUN 24,2024-04-22,2024-06-20,3272,15037.0,15037.0,60.0,2024-04-22__2024-06-20,1,1,False,False,54.53333333333333,250.61666666666667,4.595660146699267,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/BARBER JASS.pdf,BARBER JASS.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671230253228,32DK04G013530292,PDBT,22 FEB 24,22 ABR 24,2024-02-22,2024-04-22,3284,15091.0,15091.0,61.0,2024-02-22__2024-04-22,1,1,False,False,53.83606557377049,247.39344262295083,4.59531059683313,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/BARBER JASS.pdf,BARBER JASS.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671230253228,32DK04G013530292,PDBT,21 DIC 23,22 FEB 24,2023-12-21,2024-02-22,3483,15811.0,15811.0,64.0,2023-12-21__2024-02-22,1,1,False,False,54.421875,247.046875,4.539477461958082,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/BARBER JASS.pdf,BARBER JASS.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671230253228,32DK04G013530292,PDBT,20 OCT 23,21 DIC 23,2023-10-20,2023-12-21,3575,16242.0,16242.0,63.0,2023-10-20__2023-12-21,1,1,False,False,56.74603174603175,257.8095238095238,4.543216783216783,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/BEN & FRANK.pdf,BEN & FRANK.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671220550518,32DK04G013530436,PDBT,20 JUN 25,20 AGO 25,2025-06-20,2025-08-20,3561,17194.0,17194.0,62.0,2025-06-20__2025-08-20,1,1,False,False,57.435483870967744,277.3225806451613,4.828418983431621,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/BEN & FRANK.pdf,BEN & FRANK.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671220550518,32DK04G013530436,PDBT,23 ABR 25,20 JUN 25,2025-04-23,2025-06-20,3334,15702.0,15702.0,59.0,2025-04-23__2025-06-20,1,1,False,False,56.50847457627118,266.135593220339,4.7096580683863225,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/BEN & FRANK.pdf,BEN & FRANK.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671220550518,32DK04G013530436,PDBT,20 FEB 25,23 ABR 25,2025-02-20,2025-04-23,3430,16151.0,16151.0,63.0,2025-02-20__2025-04-23,1,1,False,False,54.44444444444444,256.36507936507934,4.708746355685131,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/BEN & FRANK.pdf,BEN & FRANK.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671220550518,32DK04G013530436,PDBT,23 DIC 24,20 FEB 25,2024-12-23,2025-02-20,2786,13117.0,13117.0,60.0,2024-12-23__2025-02-20,1,1,False,False,46.43333333333333,218.61666666666667,4.708183776022972,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/BEN & FRANK.pdf,BEN & FRANK.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671220550518,32DK04G013530436,PDBT,23 OCT 24,23 DIC 24,2024-10-23,2024-12-23,3343,15737.0,15737.0,62.0,2024-10-23__2024-12-23,1,1,False,False,53.91935483870968,253.82258064516128,4.707448399641041,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/BEN & FRANK.pdf,BEN & FRANK.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671220550518,32DK04G013530436,PDBT,22 AGO 24,23 OCT 24,2024-08-22,2024-10-23,3542,16668.0,16668.0,63.0,2024-08-22__2024-10-23,1,1,False,False,56.22222222222222,264.57142857142856,4.705815923207227,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/BEN & FRANK.pdf,BEN & FRANK.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671220550518,32DK04G013530436,PDBT,20 JUN 24,22 AGO 24,2024-06-20,2024-08-22,3633,16998.0,16998.0,64.0,2024-06-20__2024-08-22,1,1,False,False,56.765625,265.59375,4.6787778695293145,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/BEN & FRANK.pdf,BEN & FRANK.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671220550518,32DK04G013530436,PDBT,22 ABR 24,20 JUN 24,2024-04-22,2024-06-20,3446,15832.0,15832.0,60.0,2024-04-22__2024-06-20,1,1,False,False,57.43333333333333,263.8666666666667,4.594312246082414,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/BEN & FRANK.pdf,BEN & FRANK.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671220550518,32DK04G013530436,PDBT,22 FEB 24,22 ABR 24,2024-02-22,2024-04-22,3342,15356.0,15356.0,61.0,2024-02-22__2024-04-22,1,1,False,False,54.78688524590164,251.7377049180328,4.594853381208857,False,False,False
